ticker,S0,strike,expiry_years,call_price,put_price
MMM,157.8699951171875,157.8699951171875,0.25,7.249251285407517,5.3250146204989255
AOS,72.56999969482422,72.56999969482422,0.25,3.319311596834428,2.4646213672575965
ABT,133.72999572753906,133.72999572753906,0.25,6.150929406667846,4.470415222877446
ABBV,218.33999633789062,218.33999633789062,0.25,9.97651488171588,7.373206696323725
ACN,238.5399932861328,238.5399932861328,0.25,10.878956716253647,8.065463919393133
ADBE,349.3599853515625,349.3599853515625,0.25,16.354819786029474,12.274668357624996
AMD,158.57000732421875,158.57000732421875,0.25,7.519437325321767,5.506751856325256
AES,12.880000114440918,12.880000114440918,0.25,0.5847845693808549,0.4409665939823942
AFL,109.12999725341797,109.12999725341797,0.25,4.956003667915934,3.638933474479444
A,123.23999786376953,123.23999786376953,0.25,5.719743783424411,4.120957857570286
APD,292.82000732421875,292.82000732421875,0.25,13.659323775298402,9.99606442472283
ABNB,122.55000305175781,122.55000305175781,0.25,5.6395519044506095,4.11867967493411
AKAM,76.83999633789062,76.83999633789062,0.25,3.539395628256914,2.6683641188299574
ALB,75.9800033569336,75.9800033569336,0.25,3.532335552870769,2.6181609719078254
ARE,84.91999816894531,84.91999816894531,0.25,3.9412396127327085,2.7591807274756426
ALGN,131.55999755859375,131.55999755859375,0.25,6.070288251602528,4.452465419900964
ALLE,175.02000427246094,175.02000427246094,0.25,7.991531541304941,6.0469540216574496
LNT,64.86000061035156,64.86000061035156,0.25,3.0193337707945482,2.22223950897818
ALL,200.38999938964844,200.38999938964844,0.25,9.012383807446824,6.659662979007346
GOOGL,240.8000030517578,240.8000030517578,0.25,11.033363186541115,8.26598209227979
GOOG,241.3800048828125,241.3800048828125,0.25,10.981742442721862,8.215970734420337
MO,66.6500015258789,66.6500015258789,0.25,3.0597223491249954,2.2154142294981876
AMZN,228.14999389648438,228.14999389648438,0.25,10.57815743336543,7.905952480569769
AMCR,8.279999732971191,8.279999732971191,0.25,0.38156832802207513,0.2812359480417281
AEE,100.79000091552734,100.79000091552734,0.25,4.6197624449329755,3.4785569167633352
AEP,109.45999908447266,109.45999908447266,0.25,4.9300595806059535,3.572637220390379
AXP,325.30999755859375,325.30999755859375,0.25,15.23618453129957,10.792044657861924
AIG,78.93000030517578,78.93000030517578,0.25,3.6402733021530396,2.6548983056110136
AMT,195.0800018310547,195.0800018310547,0.25,9.080388875997926,6.520552878698925
AWK,139.27999877929688,139.27999877929688,0.25,6.225581707486802,4.753608366608202
AMP,497.0799865722656,497.0799865722656,0.25,22.79069662546331,16.421124888215548
AME,189.92999267578125,189.92999267578125,0.25,8.644225256787353,6.288803491622929
AMGN,276.3900146484375,276.3900146484375,0.25,12.518115060559985,9.273882838826182
APH,118.68000030517578,118.68000030517578,0.25,5.4637352822630465,3.955095649755319
ADI,245.2100067138672,245.2100067138672,0.25,11.472393421860446,8.415864216748018
AON,371.95001220703125,371.95001220703125,0.25,17.735251418997745,12.63118257428564
APA,22.84000015258789,22.84000015258789,0.25,1.0373477604708659,0.7663702804132417
APO,138.02999877929688,138.02999877929688,0.25,6.474697169863572,4.741467031447915
AAPL,234.07000732421875,234.07000732421875,0.25,10.653313570871852,8.079521755728688
AMAT,167.8000030517578,167.8000030517578,0.25,7.701171470048398,5.6576691792962475
APTV,82.79000091552734,82.79000091552734,0.25,3.7853528414847175,2.8063114964543834
ACGL,92.26000213623047,92.26000213623047,0.25,4.224431476882906,3.118582603799385
ADM,61.56999969482422,61.56999969482422,0.25,2.8642783376435315,2.087255215679064
ANET,139.38999938964844,139.38999938964844,0.25,6.408366606270566,4.671189190963505
AJG,297.2799987792969,297.2799987792969,0.25,13.571185505139756,9.8892850993802
AIZ,213.00999450683594,213.00999450683594,0.25,9.718583114239987,7.153338279912147
T,29.56999969482422,29.56999969482422,0.25,1.385888619668934,0.9999242504436244
ATO,166.5399932861328,166.5399932861328,0.25,7.625373442196725,5.649549169230384
ADSK,319.04998779296875,319.04998779296875,0.25,14.240563004974055,10.72869700796279
ADP,293.5,293.5,0.25,13.62304061113396,9.901020377621592
AZO,4322.14990234375,4322.14990234375,0.25,199.84753192937572,149.94126016651717
AVB,195.14999389648438,195.14999389648438,0.25,9.127568023521441,6.746929192870189
AVY,165.64999389648438,165.64999389648438,0.25,7.76239249192576,5.66812735247307
AXON,756.1300048828125,756.1300048828125,0.25,34.789823233134534,26.093541282535497
BKR,46.4900016784668,46.4900016784668,0.25,2.0854255786235147,1.5703105335779226
BALL,51.189998626708984,51.189998626708984,0.25,2.335218805507026,1.7561988681644833
BAC,50.58000183105469,50.58000183105469,0.25,2.3206248342259443,1.7099012731128296
BAX,23.989999771118164,23.989999771118164,0.25,1.1152584882951144,0.7997081913058801
BDX,186.83999633789062,186.83999633789062,0.25,8.515157879377309,6.5249328848741515
BRK.B,,,0.25,,
BBY,75.87000274658203,75.87000274658203,0.25,3.5045212447899203,2.5856004048242616
TECH,51.2599983215332,51.2599983215332,0.25,2.3843889097270714,1.7456398856798854
BIIB,144.86000061035156,144.86000061035156,0.25,6.661585069246044,4.965662586982266
BLK,1123.4100341796875,1123.4100341796875,0.25,51.94756896446756,39.10806641114377
BX,181.35000610351562,181.35000610351562,0.25,8.269922322563616,6.048937249431234
XYZ,72.87000274658203,72.87000274658203,0.25,3.38470635916984,2.4400030175009553
BK,106.4800033569336,106.4800033569336,0.25,4.929119176866092,3.6149176258990687
BA,215.94000244140625,215.94000244140625,0.25,9.972322873278602,7.343030347706354
BKNG,5458.31982421875,5458.31982421875,0.25,251.52095477596788,179.5739391234309
