symbol,latest_price
MMM,156.66000366210938
AOS,73.2699966430664
ABT,131.4199981689453
ABBV,217.67999267578125
ACN,237.83999633789062
ADBE,347.1000061035156
AMD,161.17999267578125
AES,13.015000343322754
AFL,108.41999816894531
A,125.62000274658203
APD,289.5199890136719
ABNB,120.36000061035156
AKAM,76.44999694824219
ALB,81.02999877929688
ARE,85.58999633789062
ALGN,130.97000122070312
ALLE,176.27999877929688
LNT,64.7300033569336
ALL,196.86000061035156
GOOGL,251.6199951171875
GOOG,251.85000610351562
MO,64.87999725341797
AMZN,231.44000244140625
AMCR,8.279999732971191
AEE,100.4800033569336
AEP,109.09500122070312
AXP,327.19000244140625
AIG,77.0199966430664
AMT,192.50999450683594
AWK,137.6199951171875
AMP,487.6600036621094
AME,189.63999938964844
AMGN,274.3999938964844
APH,119.25
ADI,244.99000549316406
AON,363.80999755859375
APA,22.90999984741211
APO,138.52999877929688
AAPL,236.75999450683594
AMAT,170.9199981689453
APTV,82.79000091552734
ACGL,89.87000274658203
ADM,60.54999923706055
ANET,145.4499969482422
AJG,289.2900085449219
AIZ,208.50999450683594
T,29.6299991607666
ATO,165.875
ADSK,321.0899963378906
ADP,290.9100036621094
AZO,4231.490234375
AVB,192.8699951171875
AVY,164.8800048828125
AXON,760.9000244140625
BKR,46.279998779296875
BALL,49.90999984741211
BAC,50.59000015258789
BAX,23.809999465942383
BDX,185.75
BRK-B,491.6199951171875
BBY,74.56999969482422
TECH,51.650001525878906
BIIB,143.30999755859375
BLK,1114.81005859375
BX,183.80999755859375
XYZ,74.625
BK,106.41999816894531
BA,215.72999572753906
BKNG,5559.990234375
BSX,99.87000274658203
BMY,46.3650016784668
AVGO,364.29998779296875
BR,249.77999877929688
BRO,90.87999725341797
BF-B,27.3700008392334
BLDR,140.22999572753906
BG,80.30999755859375
BXP,77.82499694824219
CHRW,133.28500366210938
CDNS,351.6000061035156
CZR,25.905000686645508
CPT,108.37000274658203
CPB,32.86000061035156
COF,226.59500122070312
CAH,150.30999755859375
KMX,60.41999816894531
CCL,31.229999542236328
CARR,61.2400016784668
CAT,435.9599914550781
CBOE,234.2449951171875
CBRE,165.57000732421875
CDW,163.1300048828125
COR,291.44000244140625
CNC,32.650001525878906
CNP,38.310001373291016
CF,85.36000061035156
CRL,152.25
SCHW,92.08999633789062
CHTR,260.7300109863281
CVX,157.42999267578125
CMG,38.579898834228516
CB,274.260009765625
CHD,91.2300033569336
CI,297.0400085449219
CINF,155.1300048828125
CTAS,199.61000061035156
CSCO,67.04000091552734
C,99.80000305175781
CFG,51.34000015258789
CLX,122.83999633789062
CME,258.9599914550781
CMS,71.59500122070312
KO,66.20999908447266
CTSH,68.58499908447266
COIN,326.9800109863281
CL,82.1500015258789
CMCSA,32.625
CAG,18.68000030517578
COP,92.36499786376953
ED,97.0
STZ,135.4199981689453
CEG,330.6099853515625
COO,65.5199966430664
CPRT,47.599998474121094
GLW,78.0
CPAY,304.989990234375
CTVA,70.09500122070312
CSGP,88.95999908447266
COST,960.0900268554688
CTRA,24.200000762939453
CRWD,444.8599853515625
CCI,93.58999633789062
CSX,32.5099983215332
CMI,414.2349853515625
CVS,73.4749984741211
DHR,188.52999877929688
DRI,212.22000122070312
DDOG,138.6300048828125
DVA,130.86000061035156
DAY,68.93000030517578
DECK,118.66000366210938
DE,469.0899963378906
DELL,126.76000213623047
DAL,58.40999984741211
DVN,33.77000045776367
DXCM,75.56999969482422
FANG,134.4499969482422
DLR,175.08999633789062
DG,104.51000213623047
DLTR,97.23999786376953
D,60.599998474121094
DPZ,449.94500732421875
DASH,257.989990234375
DOV,171.92999267578125
DOW,24.165000915527344
DHI,172.08999633789062
DTE,136.42999267578125
DUK,122.38999938964844
DD,77.12999725341797
EMN,65.19999694824219
ETN,375.54998779296875
EBAY,90.37999725341797
ECL,270.6600036621094
EIX,55.88999938964844
EW,76.05000305175781
EA,171.7899932861328
ELV,306.7200012207031
EMR,135.67999267578125
ENPH,37.97999954223633
ETR,90.2249984741211
EOG,117.55000305175781
EPAM,154.50999450683594
EQT,49.97999954223633
EFX,256.8900146484375
EQIX,791.6799926757812
EQR,65.29499816894531
ERIE,321.9700012207031
ESS,264.760009765625
EL,87.4000015258789
EG,339.9700012207031
EVRG,72.19999694824219
ES,65.52999877929688
EXC,43.42499923706055
EXE,95.56999969482422
EXPE,228.3000030517578
EXPD,124.19999694824219
EXR,143.72999572753906
XOM,112.38500213623047
FFIV,324.1099853515625
FDS,343.92999267578125
FICO,1555.3299560546875
FAST,47.779998779296875
FRT,101.08000183105469
FDX,225.6999969482422
FIS,66.95999908447266
FITB,45.36000061035156
FSLR,207.0
FE,43.619998931884766
FI,132.67999267578125
F,11.680000305175781
FTNT,81.00900268554688
FTV,48.60499954223633
FOXA,58.75
FOX,53.09000015258789
BEN,24.3700008392334
FCX,45.650001525878906
GRMN,235.8300018310547
IT,247.0399932861328
GE,286.8399963378906
GEHC,77.76000213623047
GEV,628.6799926757812
GEN,28.770000457763672
GNRC,185.61000061035156
GD,326.8599853515625
GIS,49.0
GM,58.99100112915039
GPC,139.10000610351562
GILD,112.58999633789062
GPN,84.19000244140625
GL,142.47000122070312
GDDY,145.5500030517578
GS,787.3099975585938
HAL,21.795000076293945
HIG,131.4949951171875
HAS,75.98999786376953
HCA,403.2900085449219
DOC,18.239999771118164
HSIC,68.81999969482422
HSY,185.6199951171875
HPE,24.84000015258789
HLT,271.260009765625
HOLX,63.779998779296875
HD,422.79998779296875
HON,211.72000122070312
HRL,24.739999771118164
